,Username,Tweet
40,NotiOeste,"#Temblor : M 1.35, PUERTO RICO REGION                April 16, 2019 22:09:07 Local Time (GMT - 4).     #RedSismica"
41,KP4Radio,"#Temblor : M 1.35, PUERTO RICO REGION                 April 16, 2019 22:09:07 Local Time (GMT - 4).     #RedSismica"
42,tressoles4,Entregas mañana UPRM💚 
43,FSAE_UPRM,"Por que los pequeños detalles también cuentan. 

#CRE #CC2 #ComoCoco #FSAE "
44,naydagsantiago,Problem Solving 2 Course #CAHSI #Google #UPRM #computationalthinking @ Universidad de Puerto Rico Recinto de Mayaguez 
45,vapingdotcom1,SMOK VAPES💨DIFERENTES ESTILOS‼️DM #dm #DM #RUM #colegio #UPRM #uprm #vapes #liquids #smok #maya #mayaguez #upr 
46,edgardo__ayala,@DeportivaHuella @uprm @UPRBayamon @cgerum Es a las 6 o 7 pm? El itinerario de la LAI y en Mundo Deportivo informaron que era a las 7 pm.
47,DeportivaHuella,"¡Rumbo al CAAMpeonato!🏆

🗓 Este sábado, la escuadra de la @uprm recibe a las Vaqueras de la @UPRBayamon para disputar el primer partido de la serie final. 

🗣 ¡Colegial, ven y apoya a tus Juanas! "
48,CienciaPR,"#CerebrosBoricuas La @NASA ha anunciado los ganadores del Desafío Rover de Exploración Humana 2019, que se realizó del 12 al 13 de abril en el Centro Espacial y de Cohetes de los Estados Unidos. La @UPRM se alzó con el primer lugar. "
49,ERiopiedras,Relevancia de los Bosques para la Sustentabilidad del País 
